id,channel_bandwidth,event_timestamp,mac_address,noise_floor,primary_channel,primary_phy,received_antenna_id,rssi,secondary_channel,transmit_protocol,beacon_event_id,id,area_ceiling,area_count,area_floor,area_radius,barometer_accuracy,classification_type,epoch2019,geodetic_altitude_meters,height_above_takeoff_meters,height_type,horizontal_accuracy,identity_type,latitude,longitude,operational_status,operator_geodetic_altitude_meters,operator_latitude,operator_location_type,operator_longitude,pressure_altitude_meters,speed_accuracy,speed_meters_second,time_of_applicability,time_of_applicability_accuracy,track_direction,ua_type,uas_category,uas_class,unique_id,unique_id_length,vertical_accuracy,vertical_speed_meters_second,epoch2019_datetime,,,,
17972095,0,49:33.4,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972090,17972090,24,1,24,0,0,0,154482572,295,79.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29722,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972091,0,49:33.3,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972086,17972086,24,1,24,0,0,0,154482572,295,79.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00469971,-1000,2,0,29722,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972090,0,49:33.3,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972085,17972085,24,1,24,0,0,0,154482571,295,79.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00470734,-1000,2,0,29722,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972089,0,49:33.3,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972084,17972084,24,1,24,0,0,0,154482571,298,82.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00470734,-1000,2,0,29716,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-5,11/23/2023 23:49,,,,
17972080,0,49:32.7,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972075,17972075,24,1,24,0,0,0,154482571,299,83.5,0,10,1,39.96633148,-86.00460815,2,218,39.96645355,1,-86.00470734,-1000,2,0,29714,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972078,0,49:32.7,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972073,17972073,24,1,24,0,0,0,154482571,298,82.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644974,1,-86.00470734,-1000,2,0,29716,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-5,11/23/2023 23:49,,,,
17972077,0,49:32.6,60601f0acffe,0,2437,0,WIFI_3,-67,0,0,17972072,17972072,24,1,24,0,0,0,154482571,298,82.5,0,10,1,39.96633148,-86.00460815,2,218,39.96645355,1,-86.00470734,-1000,2,0,29716,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-5,11/23/2023 23:49,,,,
17972076,0,49:32.4,60601f0acffe,0,2437,0,WIFI_3,-65,0,0,17972071,17972071,24,1,24,0,0,0,154482571,299,83.5,0,10,1,39.96633148,-86.00460815,2,218,39.96645355,1,-86.00470734,-1000,2,0,29714,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972075,0,49:32.3,60601f0acffe,0,2437,0,WIFI_3,-65,0,0,17972070,17972070,24,1,24,0,0,0,154482571,299,83.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644592,1,-86.00470734,-1000,2,0,29714,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4.5,11/23/2023 23:49,,,,
17972074,0,49:32.3,60601f0acffe,0,2437,0,WIFI_3,-65,0,0,17972069,17972069,24,1,24,0,0,0,154482571,300,85.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644592,1,-86.00470734,-1000,2,0,29710,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972071,0,49:32.0,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972066,17972066,24,1,24,0,0,0,154482571,300,85.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644592,1,-86.00470734,-1000,2,0,29710,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972070,0,49:32.0,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972065,17972065,24,1,24,0,0,0,154482570,300,85.5,0,10,1,39.96633148,-86.00460815,2,218,39.96644592,1,-86.00470734,-1000,2,0,29710,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-4,11/23/2023 23:49,,,,
17972069,0,49:32.0,60601f0acffe,0,2437,0,WIFI_3,-58,0,0,17972064,17972064,24,1,24,0,0,0,154482570,303,88,0,10,1,39.96633148,-86.00461578,2,218,39.96644592,1,-86.00470734,-1000,2,0.25,29704,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3.5,11/23/2023 23:49,,,,
17972060,0,49:31.4,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972055,17972055,24,1,24,0,0,0,154482570,303,88,0,10,1,39.96633148,-86.00461578,2,218,39.96644592,1,-86.00470734,-1000,2,0.25,29704,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3.5,11/23/2023 23:49,,,,
17972059,0,49:31.4,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972054,17972054,24,1,24,0,0,0,154482570,303,88,0,10,1,39.96633148,-86.00461578,2,218,39.96644592,1,-86.00470734,-1000,2,0.25,29704,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3.5,11/23/2023 23:49,,,,
17972057,0,49:31.4,60601f0acffe,0,2437,0,WIFI_3,-63,0,0,17972052,17972052,24,1,24,0,0,0,154482570,304,88.5,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00470734,-1000,2,0.5,29702,10,139,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972050,0,49:31.1,60601f0acffe,0,2437,0,WIFI_3,-61,0,0,17972045,17972045,24,1,24,0,0,0,154482570,304,88.5,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00470734,-1000,2,0.5,29702,10,139,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972049,0,49:31.1,60601f0acffe,0,2437,0,WIFI_3,-61,0,0,17972044,17972044,24,1,24,0,0,0,154482569,304,88.5,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00471497,-1000,2,0.5,29702,10,139,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972048,0,49:31.0,60601f0acffe,0,2437,0,WIFI_3,-61,0,0,17972043,17972043,24,1,24,0,0,0,154482569,305,90,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00471497,-1000,2,1,29698,10,135,2,0,0,1581F6Z9A23ACML31DP9,20,3,-2.5,11/23/2023 23:49,,,,
17972043,0,49:30.8,60601f0acffe,0,2437,0,WIFI_3,-66,0,0,17972038,17972038,24,1,24,0,0,0,154482569,305,90,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00471497,-1000,2,1,29698,10,135,2,0,0,1581F6Z9A23ACML31DP9,20,3,-2.5,11/23/2023 23:49,,,,
17972041,0,49:30.8,60601f0acffe,0,2437,0,WIFI_3,-66,0,0,17972036,17972036,24,1,24,0,0,0,154482569,305,90,0,10,1,39.9663353,-86.00461578,2,218,39.96644592,1,-86.00471497,-1000,2,1,29698,10,135,2,0,0,1581F6Z9A23ACML31DP9,20,3,-2.5,11/23/2023 23:49,,,,
17972038,0,49:30.7,60601f0acffe,0,2437,0,WIFI_3,-66,0,0,17972033,17972033,24,1,24,0,0,0,154482569,306,91,0,10,1,39.96633911,-86.00462341,2,218,39.96644592,1,-86.00471497,-1000,2,2,29694,10,128,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972033,0,49:30.3,60601f0acffe,0,2437,0,WIFI_3,-62,0,0,17972028,17972028,24,1,24,0,0,0,154482568,306,91,0,10,1,39.96633911,-86.00462341,2,218,39.96644592,1,-86.00471497,-1000,2,2,29694,10,128,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972032,0,49:30.3,60601f0acffe,0,2437,0,WIFI_3,-62,0,0,17972027,17972027,24,1,24,0,0,0,154482569,306,91,0,10,1,39.96633911,-86.00462341,2,218,39.96644592,1,-86.00471497,-1000,2,2,29694,10,128,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972031,0,49:30.2,60601f0acffe,0,2437,0,WIFI_3,-62,0,0,17972026,17972026,24,1,24,0,0,0,154482568,308,93,0,10,1,39.96634674,-86.00463104,2,218,39.96644592,1,-86.00471497,-1000,2,1,29688,10,126,2,0,0,1581F6Z9A23ACML31DP9,20,3,-3,11/23/2023 23:49,,,,
17972022,0,49:30.1,60601f0acffe,0,2437,0,WIFI_3,-70,0,0,17972017,17972017,24,1,24,0,0,0,154482559,328,114.5,0,10,1,39.96635818,-86.00463867,2,217,39.96644211,1,-86.00473785,-1000,2,0,29606,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,0,11/23/2023 23:49,,,,
17972021,0,49:30.1,60601f0acffe,0,2437,0,WIFI_3,-70,0,0,17972016,17972016,24,1,24,0,0,0,154482560,328,114.5,0,10,1,39.96635818,-86.00463867,2,217,39.96644592,1,-86.00473785,-1000,2,0,29606,10,361,2,0,0,1581F6Z9A23ACML31DP9,20,3,0,11/23/2023 23:49,,,,
